14:23:18.494 -> Humidity: 31.60 %, Temp: 34.20 Celsius
14:23:28.448 -> Humidity: 31.20 %, Temp: 34.40 Celsius
14:23:38.443 -> Humidity: 30.70 %, Temp: 34.60 Celsius
14:23:48.428 -> Humidity: 30.30 %, Temp: 34.80 Celsius
14:23:58.429 -> Humidity: 29.90 %, Temp: 35.00 Celsius
14:24:08.407 -> Humidity: 29.60 %, Temp: 35.10 Celsius
14:24:18.386 -> Humidity: 29.30 %, Temp: 35.30 Celsius
14:24:28.380 -> Humidity: 29.00 %, Temp: 35.40 Celsius
14:24:38.371 -> Humidity: 28.60 %, Temp: 35.50 Celsius
14:24:48.358 -> Humidity: 28.40 %, Temp: 35.70 Celsius
14:24:58.346 -> Humidity: 28.10 %, Temp: 35.80 Celsius
14:25:08.344 -> Humidity: 27.80 %, Temp: 35.90 Celsius
14:25:18.352 -> Humidity: 27.60 %, Temp: 36.00 Celsius
14:25:28.307 -> Humidity: 27.30 %, Temp: 36.10 Celsius
14:25:38.301 -> Humidity: 27.10 %, Temp: 36.20 Celsius
14:25:48.331 -> Humidity: 26.80 %, Temp: 36.30 Celsius
14:25:58.312 -> Humidity: 26.60 %, Temp: 36.40 Celsius
14:26:08.299 -> Humidity: 26.40 %, Temp: 36.40 Celsius
14:26:18.266 -> Humidity: 26.20 %, Temp: 36.50 Celsius
14:26:28.241 -> Humidity: 26.00 %, Temp: 36.60 Celsius
14:26:38.249 -> Humidity: 25.80 %, Temp: 36.60 Celsius
14:26:48.258 -> Humidity: 25.70 %, Temp: 36.70 Celsius
14:26:58.206 -> Humidity: 25.50 %, Temp: 36.80 Celsius
14:27:08.232 -> Humidity: 25.30 %, Temp: 36.80 Celsius
14:27:18.183 -> Humidity: 25.10 %, Temp: 36.90 Celsius
14:27:28.190 -> Humidity: 25.00 %, Temp: 37.00 Celsius
14:27:38.193 -> Humidity: 24.80 %, Temp: 37.00 Celsius
14:27:48.174 -> Humidity: 24.60 %, Temp: 37.00 Celsius
14:27:58.180 -> Humidity: 24.50 %, Temp: 37.10 Celsius
14:28:08.130 -> Humidity: 24.40 %, Temp: 37.10 Celsius
14:28:18.161 -> Humidity: 24.20 %, Temp: 37.10 Celsius
14:28:28.140 -> Humidity: 24.10 %, Temp: 37.20 Celsius
14:28:38.114 -> Humidity: 24.00 %, Temp: 37.20 Celsius
14:28:48.104 -> Humidity: 23.90 %, Temp: 37.30 Celsius
14:28:58.093 -> Humidity: 23.70 %, Temp: 37.20 Celsius
14:29:08.099 -> Humidity: 23.60 %, Temp: 37.30 Celsius
14:29:18.066 -> Humidity: 23.50 %, Temp: 37.30 Celsius
14:29:28.055 -> Humidity: 23.40 %, Temp: 37.30 Celsius
14:29:38.051 -> Humidity: 23.30 %, Temp: 37.30 Celsius
14:29:48.034 -> Humidity: 23.20 %, Temp: 37.30 Celsius
14:29:58.025 -> Humidity: 23.10 %, Temp: 37.40 Celsius
14:30:08.026 -> Humidity: 23.00 %, Temp: 37.40 Celsius
14:30:17.991 -> Humidity: 22.90 %, Temp: 37.40 Celsius
14:30:27.980 -> Humidity: 22.80 %, Temp: 37.40 Celsius
14:30:37.988 -> Humidity: 22.70 %, Temp: 37.40 Celsius
14:30:47.988 -> Humidity: 22.70 %, Temp: 37.40 Celsius
14:30:57.957 -> Humidity: 22.60 %, Temp: 37.40 Celsius
14:31:07.968 -> Humidity: 22.50 %, Temp: 37.40 Celsius
14:31:17.952 -> Humidity: 22.40 %, Temp: 37.40 Celsius
14:31:27.945 -> Humidity: 22.30 %, Temp: 37.40 Celsius
14:31:37.935 -> Humidity: 22.20 %, Temp: 37.40 Celsius
14:31:47.917 -> Humidity: 22.20 %, Temp: 37.50 Celsius
14:31:57.882 -> Humidity: 22.10 %, Temp: 37.50 Celsius
14:32:07.877 -> Humidity: 22.10 %, Temp: 37.50 Celsius
14:32:17.877 -> Humidity: 20.60 %, Temp: 37.50 Celsius
14:32:27.868 -> Humidity: 20.30 %, Temp: 37.30 Celsius
14:32:37.847 -> Humidity: 21.00 %, Temp: 37.10 Celsius
14:32:47.855 -> Humidity: 21.80 %, Temp: 37.00 Celsius
14:32:57.834 -> Humidity: 22.70 %, Temp: 36.90 Celsius
14:33:07.799 -> Humidity: 23.50 %, Temp: 36.70 Celsius
14:33:17.820 -> Humidity: 24.30 %, Temp: 36.60 Celsius
14:33:27.787 -> Humidity: 25.20 %, Temp: 36.60 Celsius
14:33:37.779 -> Humidity: 26.00 %, Temp: 36.50 Celsius
14:33:47.773 -> Humidity: 26.70 %, Temp: 36.40 Celsius
14:33:57.749 -> Humidity: 27.50 %, Temp: 36.40 Celsius
14:34:07.755 -> Humidity: 28.20 %, Temp: 36.30 Celsius
14:34:17.743 -> Humidity: 28.90 %, Temp: 36.30 Celsius
14:34:27.733 -> Humidity: 29.50 %, Temp: 36.20 Celsius
14:34:37.713 -> Humidity: 30.10 %, Temp: 36.20 Celsius
14:34:47.727 -> Humidity: 30.90 %, Temp: 36.20 Celsius
14:34:57.718 -> Humidity: 31.60 %, Temp: 36.10 Celsius
14:35:07.691 -> Humidity: 32.30 %, Temp: 36.10 Celsius
14:35:17.701 -> Humidity: 33.00 %, Temp: 36.10 Celsius
14:35:27.659 -> Humidity: 33.70 %, Temp: 36.10 Celsius
14:35:37.648 -> Humidity: 34.30 %, Temp: 36.10 Celsius
14:35:47.648 -> Humidity: 34.80 %, Temp: 36.00 Celsius
14:35:57.656 -> Humidity: 35.40 %, Temp: 36.00 Celsius
14:36:07.630 -> Humidity: 36.00 %, Temp: 36.10 Celsius
14:36:17.595 -> Humidity: 36.50 %, Temp: 36.00 Celsius
14:36:27.617 -> Humidity: 36.90 %, Temp: 36.00 Celsius
14:36:37.572 -> Humidity: 37.40 %, Temp: 36.00 Celsius
14:36:47.597 -> Humidity: 37.80 %, Temp: 36.00 Celsius
14:36:57.581 -> Humidity: 38.30 %, Temp: 36.00 Celsius
14:37:07.573 -> Humidity: 38.70 %, Temp: 36.00 Celsius
14:37:17.549 -> Humidity: 39.10 %, Temp: 36.00 Celsius
14:37:27.528 -> Humidity: 39.40 %, Temp: 36.00 Celsius
14:37:37.516 -> Humidity: 39.80 %, Temp: 36.00 Celsius
14:37:47.518 -> Humidity: 40.20 %, Temp: 36.00 Celsius
14:37:57.520 -> Humidity: 40.50 %, Temp: 36.00 Celsius
14:38:07.489 -> Humidity: 40.80 %, Temp: 36.00 Celsius
14:38:17.489 -> Humidity: 41.30 %, Temp: 36.10 Celsius
14:38:27.456 -> Humidity: 41.60 %, Temp: 36.10 Celsius
14:38:37.433 -> Humidity: 41.80 %, Temp: 36.10 Celsius
14:38:47.467 -> Humidity: 42.20 %, Temp: 36.10 Celsius
14:38:57.429 -> Humidity: 42.40 %, Temp: 36.10 Celsius
14:39:07.440 -> Humidity: 42.70 %, Temp: 36.10 Celsius
14:39:17.394 -> Humidity: 43.00 %, Temp: 36.10 Celsius
14:39:27.412 -> Humidity: 43.20 %, Temp: 36.10 Celsius
14:39:37.374 -> Humidity: 43.40 %, Temp: 36.10 Celsius
14:39:47.373 -> Humidity: 43.80 %, Temp: 36.20 Celsius
14:39:57.386 -> Humidity: 44.00 %, Temp: 36.20 Celsius
14:40:07.378 -> Humidity: 44.20 %, Temp: 36.20 Celsius
14:40:17.353 -> Humidity: 44.40 %, Temp: 36.20 Celsius
14:40:27.352 -> Humidity: 44.70 %, Temp: 36.20 Celsius
14:40:37.351 -> Humidity: 44.90 %, Temp: 36.20 Celsius
14:40:47.334 -> Humidity: 45.10 %, Temp: 36.20 Celsius
14:40:57.315 -> Humidity: 45.30 %, Temp: 36.20 Celsius
14:41:07.314 -> Humidity: 45.60 %, Temp: 36.30 Celsius
14:41:17.295 -> Humidity: 45.80 %, Temp: 36.30 Celsius
14:41:27.261 -> Humidity: 46.00 %, Temp: 36.30 Celsius
14:41:37.284 -> Humidity: 46.20 %, Temp: 36.30 Celsius
14:41:47.247 -> Humidity: 46.40 %, Temp: 36.30 Celsius
14:41:57.245 -> Humidity: 46.60 %, Temp: 36.30 Celsius
14:42:07.231 -> Humidity: 46.80 %, Temp: 36.30 Celsius
14:42:17.198 -> Humidity: 46.90 %, Temp: 36.30 Celsius
14:42:27.226 -> Humidity: 47.10 %, Temp: 36.30 Celsius
14:42:37.195 -> Humidity: 47.30 %, Temp: 36.40 Celsius
14:42:47.176 -> Humidity: 47.50 %, Temp: 36.40 Celsius
14:42:57.159 -> Humidity: 47.70 %, Temp: 36.40 Celsius
14:43:07.143 -> Humidity: 47.90 %, Temp: 36.40 Celsius
14:43:17.153 -> Humidity: 48.00 %, Temp: 36.40 Celsius
14:43:27.140 -> Humidity: 48.30 %, Temp: 36.40 Celsius
14:43:37.125 -> Humidity: 48.40 %, Temp: 36.40 Celsius
14:43:47.123 -> Humidity: 48.60 %, Temp: 36.40 Celsius
14:43:57.129 -> Humidity: 48.80 %, Temp: 36.40 Celsius
14:44:07.110 -> Humidity: 49.00 %, Temp: 36.40 Celsius
14:44:17.087 -> Humidity: 49.20 %, Temp: 36.40 Celsius
14:44:27.068 -> Humidity: 49.30 %, Temp: 36.40 Celsius
14:44:37.081 -> Humidity: 49.50 %, Temp: 36.40 Celsius
14:44:47.037 -> Humidity: 49.60 %, Temp: 36.40 Celsius
14:44:57.045 -> Humidity: 49.80 %, Temp: 36.50 Celsius
14:45:07.036 -> Humidity: 49.90 %, Temp: 36.50 Celsius
14:45:17.034 -> Humidity: 50.10 %, Temp: 36.50 Celsius
14:45:26.999 -> Humidity: 50.20 %, Temp: 36.50 Celsius
14:45:37.012 -> Humidity: 50.40 %, Temp: 36.50 Celsius
14:45:46.982 -> Humidity: 50.60 %, Temp: 36.50 Celsius
14:45:56.972 -> Humidity: 50.70 %, Temp: 36.50 Celsius
14:46:06.966 -> Humidity: 50.80 %, Temp: 36.50 Celsius
14:46:16.931 -> Humidity: 51.00 %, Temp: 36.50 Celsius
14:46:26.957 -> Humidity: 51.10 %, Temp: 36.50 Celsius
14:46:36.932 -> Humidity: 51.20 %, Temp: 36.50 Celsius
14:46:46.928 -> Humidity: 51.40 %, Temp: 36.60 Celsius
14:46:56.913 -> Humidity: 51.60 %, Temp: 36.60 Celsius
14:47:06.914 -> Humidity: 51.70 %, Temp: 36.60 Celsius
14:47:16.908 -> Humidity: 51.90 %, Temp: 36.60 Celsius
14:47:26.877 -> Humidity: 52.00 %, Temp: 36.60 Celsius
14:47:36.888 -> Humidity: 52.20 %, Temp: 36.60 Celsius
14:47:46.840 -> Humidity: 52.30 %, Temp: 36.60 Celsius
14:47:56.863 -> Humidity: 52.40 %, Temp: 36.60 Celsius
14:48:06.814 -> Humidity: 52.50 %, Temp: 36.60 Celsius
14:48:16.803 -> Humidity: 52.60 %, Temp: 36.60 Celsius
14:48:26.789 -> Humidity: 52.80 %, Temp: 36.60 Celsius
14:48:36.785 -> Humidity: 53.00 %, Temp: 36.70 Celsius
14:48:46.801 -> Humidity: 53.10 %, Temp: 36.70 Celsius
14:48:56.791 -> Humidity: 53.20 %, Temp: 36.70 Celsius
14:49:06.762 -> Humidity: 53.40 %, Temp: 36.70 Celsius
14:49:16.767 -> Humidity: 53.50 %, Temp: 36.70 Celsius
14:49:26.767 -> Humidity: 53.60 %, Temp: 36.70 Celsius
14:49:36.712 -> Humidity: 53.70 %, Temp: 36.70 Celsius
14:49:46.717 -> Humidity: 53.80 %, Temp: 36.70 Celsius
14:49:56.700 -> Humidity: 53.90 %, Temp: 36.70 Celsius
14:50:06.704 -> Humidity: 54.00 %, Temp: 36.70 Celsius
14:50:16.697 -> Humidity: 54.10 %, Temp: 36.70 Celsius
14:50:26.667 -> Humidity: 54.30 %, Temp: 36.70 Celsius
