15:44:24.242 -> Humidity: 32.80 %, Temp: 37.40 Celsius
15:44:34.220 -> Humidity: 32.70 %, Temp: 37.40 Celsius
15:44:44.208 -> Humidity: 32.70 %, Temp: 37.40 Celsius
15:44:54.222 -> Humidity: 32.70 %, Temp: 37.40 Celsius
15:45:04.198 -> Humidity: 32.70 %, Temp: 37.40 Celsius
15:45:14.175 -> Humidity: 32.60 %, Temp: 37.40 Celsius
15:45:24.163 -> Humidity: 32.60 %, Temp: 37.40 Celsius
15:45:34.177 -> Humidity: 32.60 %, Temp: 37.40 Celsius
15:45:44.168 -> Humidity: 32.50 %, Temp: 37.40 Celsius
15:45:54.161 -> Humidity: 32.60 %, Temp: 37.40 Celsius
15:46:04.134 -> Humidity: 32.50 %, Temp: 37.40 Celsius
15:46:14.131 -> Humidity: 32.50 %, Temp: 37.40 Celsius
15:46:24.088 -> Humidity: 32.50 %, Temp: 37.40 Celsius
15:46:34.105 -> Humidity: 32.50 %, Temp: 37.40 Celsius
15:46:44.102 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:46:54.088 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:04.069 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:14.067 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:24.043 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:34.042 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:44.027 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:47:53.997 -> Humidity: 32.40 %, Temp: 37.40 Celsius
15:48:03.998 -> Humidity: 31.40 %, Temp: 37.30 Celsius
15:48:14.000 -> Humidity: 31.60 %, Temp: 37.10 Celsius
15:48:23.973 -> Humidity: 31.90 %, Temp: 36.90 Celsius
15:48:33.961 -> Humidity: 32.00 %, Temp: 36.80 Celsius
15:48:43.966 -> Humidity: 32.10 %, Temp: 36.70 Celsius
15:48:53.952 -> Humidity: 32.20 %, Temp: 36.70 Celsius
15:49:03.944 -> Humidity: 32.20 %, Temp: 36.60 Celsius
15:49:13.955 -> Humidity: 32.30 %, Temp: 36.60 Celsius
15:49:23.924 -> Humidity: 32.30 %, Temp: 36.50 Celsius
15:49:33.888 -> Humidity: 32.40 %, Temp: 36.50 Celsius
15:49:43.898 -> Humidity: 32.50 %, Temp: 36.50 Celsius
15:49:53.876 -> Humidity: 32.50 %, Temp: 36.40 Celsius
15:50:03.890 -> Humidity: 32.60 %, Temp: 36.40 Celsius
15:50:13.845 -> Humidity: 32.70 %, Temp: 36.40 Celsius
15:50:23.856 -> Humidity: 32.80 %, Temp: 36.40 Celsius
15:50:33.846 -> Humidity: 32.80 %, Temp: 36.30 Celsius
15:50:43.812 -> Humidity: 32.90 %, Temp: 36.30 Celsius
15:50:53.797 -> Humidity: 32.90 %, Temp: 36.30 Celsius
15:51:03.792 -> Humidity: 33.00 %, Temp: 36.30 Celsius
15:51:13.801 -> Humidity: 33.10 %, Temp: 36.30 Celsius
15:51:23.769 -> Humidity: 33.20 %, Temp: 36.30 Celsius
15:51:33.789 -> Humidity: 33.20 %, Temp: 36.30 Celsius
15:51:43.761 -> Humidity: 33.30 %, Temp: 36.30 Celsius
15:51:53.781 -> Humidity: 33.40 %, Temp: 36.30 Celsius
15:52:03.741 -> Humidity: 33.40 %, Temp: 36.30 Celsius
15:52:13.715 -> Humidity: 33.40 %, Temp: 36.30 Celsius
15:52:23.707 -> Humidity: 33.50 %, Temp: 36.30 Celsius
15:52:33.730 -> Humidity: 33.50 %, Temp: 36.30 Celsius
15:52:43.702 -> Humidity: 33.60 %, Temp: 36.30 Celsius
15:52:53.668 -> Humidity: 33.60 %, Temp: 36.30 Celsius
15:53:03.679 -> Humidity: 33.70 %, Temp: 36.30 Celsius
15:53:13.662 -> Humidity: 33.70 %, Temp: 36.30 Celsius
15:53:23.682 -> Humidity: 33.80 %, Temp: 36.40 Celsius
15:53:33.663 -> Humidity: 33.80 %, Temp: 36.30 Celsius
15:53:43.654 -> Humidity: 33.90 %, Temp: 36.40 Celsius
15:53:53.627 -> Humidity: 33.90 %, Temp: 36.40 Celsius
15:54:03.630 -> Humidity: 34.00 %, Temp: 36.40 Celsius
15:54:13.584 -> Humidity: 34.00 %, Temp: 36.40 Celsius
15:54:23.607 -> Humidity: 34.00 %, Temp: 36.40 Celsius
15:54:33.593 -> Humidity: 34.10 %, Temp: 36.40 Celsius
15:54:43.585 -> Humidity: 34.10 %, Temp: 36.40 Celsius
15:54:53.545 -> Humidity: 34.20 %, Temp: 36.40 Celsius
15:55:03.541 -> Humidity: 34.20 %, Temp: 36.40 Celsius
15:55:13.531 -> Humidity: 34.20 %, Temp: 36.40 Celsius
15:55:23.512 -> Humidity: 34.30 %, Temp: 36.40 Celsius
15:55:33.514 -> Humidity: 34.40 %, Temp: 36.50 Celsius
15:55:43.491 -> Humidity: 34.40 %, Temp: 36.40 Celsius
15:55:53.485 -> Humidity: 34.40 %, Temp: 36.50 Celsius
15:56:03.486 -> Humidity: 34.50 %, Temp: 36.50 Celsius
15:56:13.479 -> Humidity: 34.50 %, Temp: 36.50 Celsius
15:56:23.478 -> Humidity: 34.60 %, Temp: 36.50 Celsius
15:56:33.446 -> Humidity: 34.60 %, Temp: 36.50 Celsius
15:56:43.430 -> Humidity: 34.60 %, Temp: 36.50 Celsius
15:56:53.418 -> Humidity: 34.70 %, Temp: 36.60 Celsius
15:57:03.412 -> Humidity: 34.70 %, Temp: 36.60 Celsius
15:57:13.393 -> Humidity: 34.70 %, Temp: 36.60 Celsius
15:57:23.411 -> Humidity: 34.70 %, Temp: 36.60 Celsius
15:57:33.401 -> Humidity: 34.80 %, Temp: 36.60 Celsius
