16:08:17.646 -> Humidity: 25.80 %, Temp: 37.40 Celsius
16:08:27.656 -> Humidity: 25.70 %, Temp: 37.40 Celsius
16:08:37.607 -> Humidity: 25.70 %, Temp: 37.40 Celsius
16:08:47.625 -> Humidity: 25.70 %, Temp: 37.30 Celsius
16:08:57.598 -> Humidity: 25.90 %, Temp: 37.30 Celsius
16:09:07.617 -> Humidity: 25.90 %, Temp: 37.20 Celsius
16:09:17.607 -> Humidity: 26.00 %, Temp: 37.10 Celsius
16:09:27.596 -> Humidity: 26.10 %, Temp: 37.10 Celsius
16:09:37.542 -> Humidity: 26.30 %, Temp: 37.10 Celsius
16:09:47.552 -> Humidity: 26.40 %, Temp: 37.10 Celsius
16:09:57.518 -> Humidity: 26.20 %, Temp: 37.00 Celsius
16:10:07.550 -> Humidity: 26.20 %, Temp: 37.00 Celsius
16:10:17.515 -> Humidity: 26.30 %, Temp: 36.90 Celsius
16:10:27.495 -> Humidity: 26.60 %, Temp: 36.90 Celsius
16:10:37.479 -> Humidity: 26.70 %, Temp: 36.80 Celsius
16:10:47.471 -> Humidity: 27.00 %, Temp: 36.80 Celsius
16:10:57.453 -> Humidity: 27.20 %, Temp: 36.80 Celsius
16:11:07.473 -> Humidity: 27.40 %, Temp: 36.70 Celsius
16:11:17.457 -> Humidity: 27.60 %, Temp: 36.70 Celsius
16:11:27.453 -> Humidity: 27.80 %, Temp: 36.70 Celsius
16:11:37.420 -> Humidity: 28.00 %, Temp: 36.70 Celsius
16:11:47.412 -> Humidity: 28.20 %, Temp: 36.70 Celsius
16:11:57.419 -> Humidity: 28.30 %, Temp: 36.60 Celsius
16:12:07.399 -> Humidity: 28.50 %, Temp: 36.60 Celsius
16:12:17.391 -> Humidity: 28.70 %, Temp: 36.60 Celsius
16:12:27.388 -> Humidity: 28.90 %, Temp: 36.60 Celsius
16:12:37.361 -> Humidity: 29.00 %, Temp: 36.60 Celsius
16:12:47.347 -> Humidity: 29.20 %, Temp: 36.60 Celsius
16:12:57.326 -> Humidity: 29.20 %, Temp: 36.50 Celsius
16:13:07.332 -> Humidity: 29.40 %, Temp: 36.50 Celsius
16:13:17.344 -> Humidity: 29.60 %, Temp: 36.50 Celsius
16:13:27.331 -> Humidity: 29.80 %, Temp: 36.50 Celsius
16:13:37.317 -> Humidity: 29.90 %, Temp: 36.50 Celsius
16:13:47.313 -> Humidity: 30.10 %, Temp: 36.50 Celsius
16:13:57.300 -> Humidity: 30.20 %, Temp: 36.50 Celsius
16:14:07.256 -> Humidity: 30.50 %, Temp: 36.50 Celsius
16:14:17.283 -> Humidity: 30.60 %, Temp: 36.50 Celsius
16:14:27.243 -> Humidity: 30.80 %, Temp: 36.50 Celsius
16:14:37.232 -> Humidity: 31.00 %, Temp: 36.50 Celsius
16:14:47.209 -> Humidity: 31.10 %, Temp: 36.50 Celsius
16:14:57.227 -> Humidity: 31.40 %, Temp: 36.50 Celsius
16:15:07.206 -> Humidity: 31.50 %, Temp: 36.50 Celsius
16:15:17.209 -> Humidity: 31.60 %, Temp: 36.50 Celsius
16:15:27.184 -> Humidity: 31.80 %, Temp: 36.50 Celsius
16:15:37.152 -> Humidity: 31.80 %, Temp: 36.50 Celsius
16:15:47.146 -> Humidity: 32.00 %, Temp: 36.50 Celsius
16:15:57.138 -> Humidity: 32.10 %, Temp: 36.50 Celsius
16:16:07.146 -> Humidity: 32.20 %, Temp: 36.50 Celsius
16:16:17.122 -> Humidity: 32.40 %, Temp: 36.50 Celsius
16:16:27.119 -> Humidity: 32.50 %, Temp: 36.50 Celsius
16:16:37.118 -> Humidity: 32.60 %, Temp: 36.50 Celsius
16:16:47.084 -> Humidity: 32.80 %, Temp: 36.50 Celsius
16:16:57.076 -> Humidity: 32.90 %, Temp: 36.50 Celsius
16:17:07.091 -> Humidity: 33.00 %, Temp: 36.50 Celsius
16:17:17.046 -> Humidity: 33.20 %, Temp: 36.50 Celsius
16:17:27.067 -> Humidity: 33.30 %, Temp: 36.50 Celsius
16:17:37.061 -> Humidity: 33.40 %, Temp: 36.50 Celsius
16:17:47.036 -> Humidity: 33.60 %, Temp: 36.50 Celsius
16:17:57.038 -> Humidity: 33.70 %, Temp: 36.50 Celsius
16:18:07.017 -> Humidity: 33.80 %, Temp: 36.50 Celsius
16:18:16.977 -> Humidity: 34.00 %, Temp: 36.50 Celsius
16:18:26.978 -> Humidity: 34.10 %, Temp: 36.50 Celsius
16:18:36.981 -> Humidity: 34.30 %, Temp: 36.60 Celsius
16:18:46.960 -> Humidity: 34.40 %, Temp: 36.60 Celsius
16:18:56.959 -> Humidity: 34.60 %, Temp: 36.60 Celsius
16:19:06.939 -> Humidity: 34.80 %, Temp: 36.60 Celsius
16:19:16.935 -> Humidity: 34.90 %, Temp: 36.60 Celsius
16:19:26.938 -> Humidity: 35.00 %, Temp: 36.60 Celsius
16:19:36.900 -> Humidity: 35.10 %, Temp: 36.60 Celsius
